Month,2016,2017,2018,2019,2020,2021,2022
1,1629,1799,1923,1906685,2042982,2160275,2023857
2,1715,1722,1861,1865086,1898458,2077948,1881152
3,1771,1962,2130,2060097,1902559,21006,2143586
4,1650,1906,2038,1941502,127848,224721,2031507
5,1744,1837,2026,2010469,1432067,2436644,
6,1790,1820,1918,1801014,1549992,2247923,
7,1929,1873,1947,1894312,1656616,2286082,
8,1903,1963,1906,1895443,184636,233223,
9,1827,1881,2107,1969295,1972024,218101,
10,1953,2126,2129,1886739,2176778,2176868,
11,1794,2009,2054,1774398,1955506,1946232,
12,1416,1792,1657,1482443,2095458,1770611,
