Producao,Crude Steel,Rolled Products,Pig Iron
1/1/2018,2914,1923,2368
2/1/2018,2766,1861,2171
3/1/2018,3113,2130,2442
4/1/2018,2995,2038,2356
5/1/2018,2724,2026,2239
6/1/2018,2970,1918,2375
7/1/2018,3086,1947,2481
8/1/2018,2914,1906,2349
9/1/2018,3081,2107,2533
10/1/2018,3224,2129,2557
11/1/2018,2911,2054,2345
12/1/2018,2709,1657,2439
1/1/2019,3021,1907,2451
2/1/2019,2747,1865,2201
3/1/2019,2878,2060,2356
4/1/2019,2970,1942,2383
5/1/2019,2826,2010,2295
6/1/2019,2883,1801,2277
7/1/2019,2505,1894,1879
8/1/2019,2537,1895,1926
9/1/2019,2394,1969,1906
10/1/2019,2690,1887,2193
11/1/2019,2657,1774,2179
12/1/2019,2462,1482,2233
